Song Name,Movie Name,Release Year,Music Director,Poet,Singers,Actors
"Aaj Hadood Say, Hosh Say Aagay Nikal Jaun To Kya Ho Ga..",Sathi,1959,Fateh Ali Khan,Tufail Hoshiarpuri,Munir Hussain,
Aaj Ham Be-Aasron Ka Aasra Koi Nahin..,Lakht-e-Jiggar,1956,G.A. Chishti,Tufail Hoshiarpuri,Noorjahan,
"Aaj Ham Ko Mila Dildar, Karen Dil Ki Umangen Singhar..",Baghi,1956,Rehman Verma,?,Zubaida Khanum,
"Aaj Hay Janam Din, Meray Pyaray Lal Ka, Khushiyan Manao..",Mumtaz,1958,Mian Shehar Yaar,Liaqat Sehbai,Irene Parveen & Co.,
"Aaj Hua Hay Pyar Saajan Say, Aaj Hua Hay Pyar..",Pinjra,1951,Talib Hussain Jafri,?,Iqbal Leylpuri,
"Aaj Hui Begani Dulhan Rani, Dorahay Par Bichhray Mil Kar..",Mehfil,1955,Hassan Latif,Tanvir Naqvi,Inayat Hussain Bhatti,
"Aaj Ki Raat Bari Suhani, Mousam Pyara Pyara Hay..",Hatim,1956,Safdar Hussain,Qateel Shafai,Zubaida Khanum & Co.,
"Aaj Ki Raat Matt Jao, Kahin Aaj Ki Raat..",Waada,1957,Rasheed Attray,Saifuddin Saif,Kousar Parveen,
"Aaj Ki Raat, Aye Nabiyon Kay Sardar, Wohi Hayn..",Darbar-e-Habib,1956,Rehman Verma,Saghar Siddiqi,Zamurrad Bano & Co.,
"Aaj Kisi Bairi Nay, Aaj Kisi Zulmi Nay, Kheinchay Meray..",Vah Ray Zamanay,1958,Ghulam Nabi,Fyaz Hashmi,Kousar Parveen,
"Aaj Koi Ghar Aye Ga, Ghar Aye Ga..",Mujrim,1954,Tufail Farooqi,Ahmad Rahi,Kousar Parveen,
"Aaj Meray Dil Mein, Kaisi Yeh Halchal Hay..",Himmat,1959,Saleem Iqbal,Rehman Pyami,?,
"Aaj Mila Ik Chhota Sa Jhoota, Pakka Fitna, Makkar..",Neya Zamana,1958,Tasadduq Hussain,Nusrat Mansoori,Zubaida Khanum,
"Aaj Yeh Kis Ko Nazar Kay, Samnay Pata Hun Main..",Toofan,1955,G.A. Chishti,Saifuddin Saif,Fazal Hussain,
"Aaj Zara Jhatpat, Achhi Nahin Khatpat..",Himmat,1959,Saleem Raza,Rehman Pyami,?,
"Aankh Say Aankh Mila Lay, Soch Kar Na Matwalay..",Intezar,1956,Khawaja Khursheed Anwar,Qateel Shafai,Noorjahan,
Aankh Say Aankh Milay Lay Keh Moqa Achha Hay..,Lakht-e-Jiggar,1956,G.A. Chishti,Nazim Panipati,Munawar Sultana,
"Aansoo, Palkon Peh Aa Baithay Hayn..",Lalkar,1959,Akhtar Hussain Akhian,Hazin Qadri,Zubaida Khanum,
"Aansuon Ki Arz Hay, Aansoun Ki Dua Sun Lijiye..",Pasban,1957,Rasheed Attray,Tufail Hoshiarpuri,Kousar Parveen,
"Aansuon Say Naqsh-e-Ulfat mita, A Dil-e-Betab, Un Ko Bhool Ja..",Naghma-e-Dil,1959,G.A. Chishti,Tufail Hoshiarpuri,Naheed Niazi,
